Year,Distance,Engine_capacity(cm3),Price(euro),Style_ID,Transmission_ID,Fuel_type_ID
2011.0,195000,1800.0,7750.0,1,1,1
2014.0,135000,1500.0,8550.0,2,2,2
1998.0,1,1400.0,2200.0,1,2,3
2012.0,110000,1500.0,6550.0,2,2,2
2006.0,200000,1600.0,4100.0,2,2,4
2000.0,300000,2200.0,3490.0,3,2,2
2010.0,290000,1390.0,5600.0,2,2,3
2010.0,220000,2400.0,17000.0,4,1,2
1991.0,240000,2300.0,2850.0,5,2,3
2008.0,325000,1746.0,7535.0,5,2,2
2010.0,210000,2200.0,11400.0,5,1,2
2008.0,300000,1746.0,7535.0,6,1,2
2005.0,23,1300.0,1550.0,2,2,3
2008.0,285000,1746.0,7535.0,5,2,3
2007.0,238371,1400.0,5000.0,2,1,3
2010.0,150000,1200.0,5500.0,1,2,3
2012.0,180000,2400.0,15900.0,7,1,2
2011.0,251000,1500.0,8300.0,7,2,2
2005.0,383000,1500.0,3200.0,2,2,2
2009.0,248000,2000.0,9299.0,1,1,2
2004.0,315000,1800.0,6900.0,2,2,4
1992.0,68000,2445.0,2222.0,5,2,3
2011.0,171000,1500.0,5700.0,2,2,2
2008.0,113000,1746.0,7535.0,1,1,5
2014.0,275500,2200.0,18350.0,5,1,2
2017.0,157000,1998.0,17800.0,5,1,1
2008.0,76000,1746.0,7535.0,7,1,3
2008.0,113486,1998.0,4495.0,1,1,4
2000.0,1,1400.0,2100.0,1,2,3
1993.0,235000,2000.0,2950.0,5,2,3
2008.0,253444,1746.0,7535.0,7,1,2
2008.0,250000,1746.0,7535.0,4,1,1
2012.0,179000,1400.0,9800.0,5,1,4
2015.0,169777,2000.0,16888.0,7,1,2
2008.0,71333,1746.0,7535.0,7,1,2
1994.0,340000,1800.0,1500.0,5,2,3
2008.0,300000,1746.0,7535.0,5,1,2
2013.0,300,2200.0,11000.0,2,1,2
2008.0,280000,1746.0,7535.0,8,1,2
1996.0,0,1800.0,1800.0,5,2,3
2010.0,228000,1400.0,5700.0,2,1,4
2010.0,185000,1400.0,6500.0,5,2,2
2009.0,200415,1500.0,6200.0,1,2,2
2016.0,136000,2000.0,13200.0,8,1,2
2008.0,250000,1746.0,7535.0,5,1,3
2008.0,345,1746.0,7535.0,5,2,4
2014.0,195000,1200.0,3999.0,5,2,4
2015.0,170000,1500.0,8800.0,4,2,2
2010.0,191500,1400.0,5700.0,2,2,3
1999.0,1,2300.0,4150.0,8,2,2
2013.0,1,1200.0,7599.0,8,2,3
1991.0,457117,1800.0,1150.0,5,2,3
2004.0,250000,2000.0,4499.0,5,2,2
2015.0,158000,1500.0,11750.0,7,2,2
2018.0,132000,1500.0,16500.0,7,1,2
1990.0,9999999,1300.0,3500.0,5,2,3
2008.0,260500,1746.0,7535.0,4,1,3
2005.0,11111,1500.0,3200.0,2,2,2
2013.0,180000,1500.0,8999.0,4,2,2
2012.0,151658,1800.0,3899.0,8,2,2
2015.0,185480,1461.0,7550.0,3,2,2
2008.0,215210,1746.0,7535.0,5,1,2
2007.0,305988,1400.0,3250.0,1,2,2
2014.0,231250,2000.0,18000.0,5,1,2
2004.0,12000,1700.0,1800.0,8,2,3
1998.0,11111,2500.0,3200.0,5,2,3
2014.0,87100,1200.0,7950.0,1,2,3
2000.0,420000,1600.0,2999.0,5,2,4
2002.0,2,2000.0,4299.0,8,2,3
2002.0,275100,2000.0,5900.0,2,2,3
2015.0,180236,2000.0,21500.0,5,1,2
2010.0,183000,2200.0,12999.0,7,2,2
2011.0,195000,1500.0,5250.0,1,2,2
2008.0,311254,1746.0,7535.0,2,2,4
2000.0,420000,1600.0,2999.0,5,2,4
2002.0,2,2000.0,4299.0,8,2,3
2002.0,275100,2000.0,5900.0,2,2,3
2015.0,180236,2000.0,21500.0,5,1,2
2010.0,183000,2200.0,12999.0,7,2,2
2011.0,195000,1500.0,5250.0,1,2,2
2008.0,311254,1746.0,7535.0,2,2,4
2010.0,190000,1300.0,6500.0,1,2,2
2016.0,116000,1598.0,10300.0,2,1,3
2006.0,250000,2000.0,6900.0,8,2,2
2008.0,149,1746.0,7535.0,5,1,4
2015.0,149000,1200.0,12500.0,7,1,3
2016.0,170000,2000.0,17490.0,5,1,2
2008.0,250000,1746.0,7535.0,4,1,4
